Instance,Scenario,GA,GAKK,GALPT,GALRPT,GAMIX,GASPT,GASRPT
ft06,Breakdown,0.8000000000000043,0.6000000000000014,0.3999999999999986,0.5,0.0,0.7000000000000028,0.8999999999999986
ft06,Mixed,-0.6000000000000014,0.10000000000000142,0.6000000000000014,0.30000000000000426,0.0,0.20000000000000284,-0.5
ft06,NewJob,0.5,0.3999999999999986,0.10000000000000142,-0.30000000000000426,0.0,1.1999999999999957,-0.10000000000000142
ft06,Static,0.0,0.0,-0.3999999999999986,0.10000000000000142,0.0,0.30000000000000426,-0.19999999999999574
ft06,TimeNoise,0.0,-0.10000000000000142,-0.4000000000000057,0.0,0.0,-0.20000000000000284,-0.9000000000000057
ft10,Breakdown,25.799999999999955,-2.599999999999909,9.400000000000091,16.299999999999955,0.0,19.700000000000045,5.099999999999909
ft10,Mixed,-0.900000000000091,16.899999999999864,20.0,19.199999999999818,0.0,9.299999999999955,2.199999999999818
ft10,NewJob,7.600000000000136,-2.5,7.0,8.600000000000136,0.0,-5.399999999999864,4.900000000000091
ft10,Static,-6.100000000000023,-7.199999999999932,-4.699999999999932,-18.0,0.0,-6.699999999999932,-11.600000000000023
ft10,TimeNoise,3.8999999999998636,23.5,11.099999999999909,14.700000000000045,0.0,2.2999999999999545,17.5
ft20,Breakdown,-17.300000000000182,-16.300000000000182,9.5,2.2999999999999545,0.0,18.399999999999864,-16.90000000000009
ft20,Mixed,-20.600000000000136,-2.2000000000000455,11.099999999999909,-4.7000000000000455,0.0,-34.200000000000045,2.8999999999998636
ft20,NewJob,-7.400000000000091,-12.900000000000091,-3.7000000000000455,-1.5,0.0,-16.799999999999955,2.7999999999999545
ft20,Static,2.5,4.7000000000000455,7.400000000000091,-8.099999999999909,0.0,-6.0,10.900000000000091
ft20,TimeNoise,-18.299999999999955,-21.0,4.100000000000136,6.600000000000136,0.0,-1.5,-23.200000000000045
la01,Breakdown,-3.8999999999999773,2.2000000000000455,-3.199999999999932,-4.399999999999977,0.0,-2.199999999999932,2.800000000000068
la01,Mixed,4.399999999999977,1.6999999999999318,5.600000000000023,1.2999999999999545,0.0,6.600000000000023,4.399999999999977
la01,NewJob,7.600000000000023,2.1000000000000227,6.0,7.800000000000068,0.0,6.5,2.800000000000068
la01,Static,-0.10000000000002274,-0.10000000000002274,-0.10000000000002274,0.0,0.0,-0.10000000000002274,-0.10000000000002274
la01,TimeNoise,-3.3999999999999773,-4.899999999999977,-8.5,-6.7999999999999545,0.0,-2.3999999999999773,-6.0
la10,Breakdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la10,Mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la10,NewJob,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la10,Static,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la10,TimeNoise,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la20,Breakdown,-3.6000000000000227,-5.7000000000000455,-10.5,-12.799999999999955,0.0,-8.100000000000023,-5.2000000000000455
la20,Mixed,-9.5,-8.300000000000068,-3.900000000000091,-13.600000000000023,0.0,9.599999999999909,4.2999999999999545
la20,NewJob,-5.2000000000000455,19.5,6.0,12.899999999999977,0.0,2.5,28.5
la20,Static,0.20000000000004547,-4.599999999999909,-2.7999999999999545,-5.899999999999977,0.0,-3.7999999999999545,-0.1999999999999318
la20,TimeNoise,-20.59999999999991,15.900000000000091,-21.399999999999977,-12.0,0.0,-21.5,2.2000000000000455
la30,Breakdown,-32.0,-27.0,-24.700000000000045,-23.5,0.0,-34.700000000000045,-33.200000000000045
la30,Mixed,-14.899999999999864,-7.2999999999999545,-5.2999999999999545,-9.5,0.0,-20.299999999999955,-10.0
la30,NewJob,-27.799999999999955,-29.700000000000045,-16.799999999999955,-13.700000000000045,0.0,-1.2999999999999545,-15.700000000000045
la30,Static,-19.700000000000045,-24.399999999999864,-22.399999999999864,-16.799999999999955,0.0,-16.399999999999864,-20.399999999999864
la30,TimeNoise,-8.100000000000136,-31.299999999999955,-13.100000000000136,-1.1000000000001364,0.0,-11.100000000000136,-43.40000000000009
